HDR,ROLLING SYSTEM DEMAND
VD,20191003231000,23625
VD,20191003231500,23694
VD,20191003232000,23283
VD,20191003232500,23054
VD,20191003233000,22925
VD,20191003233500,22922
VD,20191003234000,22992
VD,20191003234500,22925
VD,20191003235000,22815
VD,20191003235500,22646
VD,20191004000000,22544
VD,20191004000500,22612
VD,20191004001000,22558
VD,20191004001500,22549
VD,20191004002000,22594
VD,20191004002500,22610
VD,20191004003000,22640
VD,20191004003500,22807
VD,20191004004000,22876
VD,20191004004500,22944
VD,20191004005000,22992
VD,20191004005500,23037
VD,20191004010000,22940
VD,20191004010500,22814
VD,20191004011000,22713
VD,20191004011500,22623
VD,20191004012000,22637
VD,20191004012500,22738
VD,20191004013000,22759
VD,20191004013500,22711
VD,20191004014000,22613
VD,20191004014500,22619
VD,20191004015000,22604
VD,20191004015500,22621
VD,20191004020000,22651
VD,20191004020500,22961
VD,20191004021000,23046
VD,20191004021500,23179
VD,20191004022000,23208
VD,20191004022500,23170
VD,20191004023000,23151
VD,20191004023500,22999
VD,20191004024000,22805
VD,20191004024500,22802
VD,20191004025000,22735
VD,20191004025500,22702
VD,20191004030000,22721
VD,20191004030500,22787
VD,20191004031000,22736
VD,20191004031500,22703
VD,20191004032000,22765
VD,20191004032500,22805
VD,20191004033000,22797
VD,20191004033500,22758
VD,20191004034000,22686
VD,20191004034500,22642
VD,20191004035000,22529
VD,20191004035500,22571
VD,20191004040000,22541
VD,20191004040500,22471
VD,20191004041000,22581
VD,20191004041500,22725
VD,20191004042000,22802
VD,20191004042500,22986
VD,20191004043000,23134
VD,20191004043500,23200
VD,20191004044000,23400
VD,20191004044500,23606
VD,20191004045000,23870
VD,20191004045500,24148
VD,20191004050000,24130
VD,20191004050500,24552
VD,20191004051000,25269
VD,20191004051500,25731
VD,20191004052000,26238
VD,20191004052500,26663
VD,20191004053000,27062
VD,20191004053500,27677
VD,20191004054000,28145
VD,20191004054500,28638
VD,20191004055000,29215
VD,20191004055500,29655
VD,20191004060000,30265
VD,20191004060500,31259
VD,20191004061000,32237
VD,20191004061500,32728
VD,20191004062000,33181
VD,20191004062500,33483
VD,20191004063000,33616
VD,20191004063500,33834
VD,20191004064000,34109
VD,20191004064500,34360
VD,20191004065000,34443
VD,20191004065500,34498
VD,20191004070000,34562
VD,20191004070500,34855
VD,20191004071000,35209
VD,20191004071500,35356
VD,20191004072000,35296
VD,20191004072500,35288
VD,20191004073000,35164
VD,20191004073500,35036
VD,20191004074000,34976
VD,20191004074500,34879
VD,20191004075000,34706
VD,20191004075500,34679
VD,20191004080000,34746
VD,20191004080500,34686
VD,20191004081000,34665
VD,20191004081500,34598
VD,20191004082000,34716
VD,20191004082500,34707
VD,20191004083000,34540
VD,20191004083500,34623
VD,20191004084000,34560
VD,20191004084500,34399
VD,20191004085000,34277
VD,20191004085500,34219
VD,20191004090000,34126
VD,20191004090500,33845
VD,20191004091000,33711
VD,20191004091500,33637
VD,20191004092000,33628
VD,20191004092500,33572
VD,20191004093000,33545
VD,20191004093500,33504
VD,20191004094000,33401
VD,20191004094500,33257
VD,20191004095000,33287
VD,20191004095500,33370
VD,20191004100000,33327
VD,20191004100500,33475
VD,20191004101000,33488
VD,20191004101500,33273
VD,20191004102000,33281
VD,20191004102500,33348
VD,20191004103000,33335
VD,20191004103500,33238
VD,20191004104000,33336
VD,20191004104500,33465
VD,20191004105000,33581
VD,20191004105500,33563
VD,20191004110000,33375
VD,20191004110500,33366
VD,20191004111000,33495
VD,20191004111500,33356
VD,20191004112000,33318
VD,20191004112500,33224
VD,20191004113000,33086
VD,20191004113500,32928
VD,20191004114000,33015
VD,20191004114500,33113
VD,20191004115000,32936
VD,20191004115500,32897
VD,20191004120000,32875
VD,20191004120500,32847
VD,20191004121000,32860
VD,20191004121500,32768
VD,20191004122000,32679
VD,20191004122500,32558
VD,20191004123000,32488
VD,20191004123500,32472
VD,20191004124000,32481
VD,20191004124500,32426
VD,20191004125000,32411
VD,20191004125500,32242
VD,20191004130000,32112
VD,20191004130500,32384
VD,20191004131000,32632
VD,20191004131500,32619
VD,20191004132000,32725
VD,20191004132500,32761
VD,20191004133000,32716
VD,20191004133500,32477
VD,20191004134000,32188
VD,20191004134500,32064
VD,20191004135000,32052
VD,20191004135500,32099
VD,20191004140000,31864
VD,20191004140500,32035
VD,20191004141000,32056
VD,20191004141500,32132
VD,20191004142000,32187
VD,20191004142500,32227
VD,20191004143000,32315
VD,20191004143500,32492
VD,20191004144000,32636
VD,20191004144500,32734
VD,20191004145000,33042
VD,20191004145500,33314
VD,20191004150000,33096
VD,20191004150500,33029
VD,20191004151000,33274
VD,20191004151500,33294
VD,20191004152000,33461
VD,20191004152500,33604
VD,20191004153000,33761
VD,20191004153500,33933
VD,20191004154000,34003
VD,20191004154500,34111
VD,20191004155000,34363
VD,20191004155500,34530
VD,20191004160000,34686
VD,20191004160500,35075
VD,20191004161000,35241
VD,20191004161500,35460
VD,20191004162000,35659
VD,20191004162500,35899
VD,20191004163000,36295
VD,20191004163500,36269
VD,20191004164000,36227
VD,20191004164500,36191
VD,20191004165000,36335
VD,20191004165500,36300
VD,20191004170000,36396
VD,20191004170500,36544
VD,20191004171000,36597
VD,20191004171500,36482
VD,20191004172000,36563
VD,20191004172500,36642
VD,20191004173000,36728
VD,20191004173500,36912
VD,20191004174000,37118
VD,20191004174500,37237
VD,20191004175000,37383
VD,20191004175500,37509
VD,20191004180000,37623
VD,20191004180500,37502
VD,20191004181000,37537
VD,20191004181500,37382
VD,20191004182000,37246
VD,20191004182500,37124
VD,20191004183000,37092
VD,20191004183500,37069
VD,20191004184000,36897
VD,20191004184500,36652
VD,20191004185000,36575
VD,20191004185500,36289
VD,20191004190000,35872
VD,20191004190500,35831
VD,20191004191000,35663
VD,20191004191500,35357
VD,20191004192000,35129
VD,20191004192500,34866
VD,20191004193000,34590
VD,20191004193500,34581
VD,20191004194000,34501
VD,20191004194500,34274
VD,20191004195000,34116
VD,20191004195500,33855
VD,20191004200000,33624
VD,20191004200500,33538
VD,20191004201000,33311
VD,20191004201500,32967
VD,20191004202000,32776
VD,20191004202500,32493
VD,20191004203000,32322
VD,20191004203500,32149
VD,20191004204000,32019
VD,20191004204500,31771
VD,20191004205000,31525
VD,20191004205500,31195
VD,20191004210000,30936
VD,20191004210500,30586
VD,20191004211000,30278
VD,20191004211500,29979
VD,20191004212000,29810
VD,20191004212500,29579
VD,20191004213000,29337
VD,20191004213500,29114
VD,20191004214000,28796
VD,20191004214500,28481
VD,20191004215000,28300
VD,20191004215500,28140
VD,20191004220000,27747
VD,20191004220500,27405
VD,20191004221000,27054
VD,20191004221500,26729
VD,20191004222000,26424
VD,20191004222500,26115
VD,20191004223000,25802
VD,20191004223500,25637
VD,20191004224000,25403
VD,20191004224500,25188
VD,20191004225000,24966
VD,20191004225500,24696
VD,20191004230000,24526
VD,20191004230500,24557
VD,20191004231000,24480
VD,20191004231500,24228
VD,20191004232000,23978
VD,20191004232500,23906
VD,20191004233000,23944
VD,20191004233500,23910
VD,20191004234000,23772
VD,20191004234500,23672
VD,20191004235000,23548
VD,20191004235500,23413
VD,20191005000000,23481
VD,20191005000500,23782
VD,20191005001000,23774
VD,20191005001500,23687
VD,20191005002000,23696
VD,20191005002500,23586
VD,20191005003000,23506
